# audit.py --queue が書いた要確認リスト。直す気になった行を
# corrections/characters.csv に移すこと（値・出典URL・確認日の3点が要る）。
# 正しいと確認できた行は audit_ok.py の CHAR_ACK に理由つきで入れる。
risk	得票	作品	vid	cid	キャラ	区分	ページ	理由	照合先
5	30	マスカレード・キス～危険な駆け引き～	v23025	c132492	Boss	攻略対象	有	名前に日本語表記が無い（Boss） / 性別が空（攻略対象の出し分けに使う） / ページがあるのにローマ字が無い（slugが名前から作れない）	
5	7	水の旋律2～緋の記憶～	v854	c38836	遮那	攻略対象	有	同じ作品に同じ名前のキャラが複数いる / フルボイス作品の攻略対象なのに声優が空	
4	94	レッドベルの慟哭	v47771	c147915	???	サブキャラ	無	性別が空（攻略対象の出し分けに使う） / 身長が40cm	
4	67	怪盗Ｘ恋の予告状	v11837	c113304	Arisugawa Yuki	攻略対象	有	名前に日本語表記が無い（Arisugawa Yuki） / ページがあるのに立ち絵が無い / ページがあるのにローマ字が無い（slugが名前から作れない）	
4	67	怪盗Ｘ恋の予告状	v11837	c113305	Kujo Hyosuke	攻略対象	有	名前に日本語表記が無い（Kujo Hyosuke） / ページがあるのに立ち絵が無い / ページがあるのにローマ字が無い（slugが名前から作れない）	
4	67	怪盗Ｘ恋の予告状	v11837	c113306	Kujo Taiga	攻略対象	有	名前に日本語表記が無い（Kujo Taiga） / ページがあるのに立ち絵が無い / ページがあるのにローマ字が無い（slugが名前から作れない）	
4	61	SWEET CLOWN ~午前三時のオカシな道化師~	v16460	c53696	クランベリー	サブキャラ	無	性別が空（攻略対象の出し分けに使う） / 身長が25cm	
4	61	SWEET CLOWN ~午前三時のオカシな道化師~	v16460	c53697	ラズベリー	サブキャラ	無	性別が空（攻略対象の出し分けに使う） / 身長が25cm	
4	0	BUNNIES HIGH SCHOOL	v52278	c141092	戦国原利之	攻略対象	有	フルボイス作品の攻略対象なのに声優が空 / ページがあるのに立ち絵が無い	
4	0	BUNNIES HIGH SCHOOL	v52278	c141093	劉威龍	攻略対象	有	フルボイス作品の攻略対象なのに声優が空 / ページがあるのに立ち絵が無い	
4	0	BUNNIES HIGH SCHOOL	v52278	c141094	九谷在音	攻略対象	有	フルボイス作品の攻略対象なのに声優が空 / ページがあるのに立ち絵が無い	
4	0	BUNNIES HIGH SCHOOL	v52278	c141095	三雲屋漸	攻略対象	有	フルボイス作品の攻略対象なのに声優が空 / ページがあるのに立ち絵が無い	
4	0	BUNNIES HIGH SCHOOL	v52278	c141096	神原白臣	攻略対象	有	フルボイス作品の攻略対象なのに声優が空 / ページがあるのに立ち絵が無い	
4	0	百目ノ花贄	v59029	c161247	御炎様	攻略対象	有	フルボイス作品の攻略対象なのに声優が空 / 年齢が200歳	
4	0	Sullyland Nursery Rhyme	v59313	c164325	シロ	サブキャラ	無	性別が空（攻略対象の出し分けに使う） / 身長が22cm	
4	0	Sullyland Nursery Rhyme	v59313	c167006	???	サブキャラ	無	同じ作品に同じ名前のキャラが複数いる / 性別が空（攻略対象の出し分けに使う）	
