# 駿河屋（JAN一致）と食い違ったもの。
vid	title	db_value	suruga_value	confidence	source_url
v19397	スチームプリズン	2016-12-09	2017-10-26	最古の版は駿河屋に無い。引けた中の最古	https://www.suruga-ya.jp/search?search_word=4580302151212
v13994	吉原彼岸花	2015-09-11	2017-10-12	最古の版は駿河屋に無い。引けた中の最古	https://www.suruga-ya.jp/search?search_word=4560100339081
v20117	Un:BIRTHDAY SONG ～愛を唄う死神～	2015-03-19	2017-12-21	最古の版は駿河屋に無い。引けた中の最古	https://www.suruga-ya.jp/search?search_word=4560269477242
v13849	鳥籠のマリアージュ	2014-04-04	2016-11-24	最古の版は駿河屋に無い。引けた中の最古	https://www.suruga-ya.jp/search?search_word=4582357312013
v15563	オルフレール	2014-12-22	2017-01-26	最古の版は駿河屋に無い。引けた中の最古	https://www.suruga-ya.jp/search?search_word=4543733010039
v12096	参千世界遊戯 ~MultiUniverse Myself~	2013-10-31	2018-09-27	最古の版は駿河屋に無い。引けた中の最古	https://www.suruga-ya.jp/search?search_word=4520424271047
v18291	円環のメモーリア	2016-10-12	2018-03-29	最古の版は駿河屋に無い。引けた中の最古	https://www.suruga-ya.jp/search?search_word=4543733010046
v22597	Tlicolity Eyes	2018-06-08	2018-07-27	最古の版は駿河屋に無い。引けた中の最古	https://www.suruga-ya.jp/search?search_word=4571436930927
v18295	罪喰い ~千の呪い、千の祈り~	2016-06-25	2017-06-29	最古の版は駿河屋に無い。引けた中の最古	https://www.suruga-ya.jp/search?search_word=4580389880197
v3996	マイネリーベII ~誇りと正義と愛~	2006-02-09	2007-02-15	確度高	https://www.suruga-ya.jp/search?search_word=4988602132618
