# 検索で拾った候補。ここは間違いが混ざっていてよい。
# x_posts.py verify が oEmbed で実在・投稿者・本文を確かめ、
# 通ったものだけ x_posts.tsv に、怪しいものは _review_x.tsv に振り分ける。
cid	vid	character	status_url	match	note
c37620	v10273	アポロン・アガナ・ベレア	https://x.com/kami_aso/status/455740165072252928	full	紹介らしい ｜ 【CHARACTER】神々紹介① アポロン・アガナ・ベレア ギリシャ神話の太陽神。人間に対しても友好的なムードメーカー。
c37621	v10273	ハデス・アイドネウス	https://x.com/kami_aso/status/455743922090700800	full	紹介らしい ｜ 【CHARACTER】神々紹介② ハデス・アイドネウス ギリシャ神話の冥府の王。ゼウスの兄でアポロンの伯父。 他者との関
c37622	v10273	バルドル・フリングホルニ	https://x.com/kami_aso/status/456371063392178176	full	紹介らしい ｜ 【CHARACTER】神々紹介⑤ バルドル・フリングホルニ  北欧神話の光の神。人をひきつける魅力を持ち、その能力は神を
c37623	v10273	ロキ・レーヴァテイン	https://x.com/kami_aso/status/456379633227681792	full	紹介らしい ｜ 【CHARACTER】神々紹介⑥ ロキ・レーヴァテイン北欧神話の炎の神。無邪気で邪悪、笑顔で容赦のない悪戯をする。 トリ
c37624	v10273	戸塚 月人	https://x.com/kami_aso/status/455997333214203904	full	紹介らしい ｜ 【CHARACTER】神々紹介③　戸塚月人日本神話の月の神、ツクヨミ。何事にも鈍感で頓着しない性格。人間に対しても興味が
c37625	v10273	戸塚 尊	https://x.com/kami_aso/status/456010630244229120	full	紹介らしい ｜ 【CHARACTER】神々紹介④　戸塚 尊日本神話の海の神、スサノオ。学園生活には協力的ではない。気性は荒くケンカっ早い
c37627	v10273	トト・カドゥケウス	https://x.com/kami_aso/status/456772366182277120	full	紹介らしい ｜ 【CHARACTER】神々紹介⑧ トト・カドゥケウスエジプト神話の叡智の神。学園では神々の指導にあたるがあまり協力的では
c37629	v10273	アヌビス・マアト	https://x.com/kami_aso/status/456758821411500033	full	紹介らしい ｜ 【CHARACTER】神々紹介⑦　 アヌビス・マアトエジプト神話の死の神。人間不信で警戒心が強く、彼の姿を見かける事はほ
c33330	v10289	関羽	https://x.com/juza_otomate/status/1519859013013233664	full	要確認 ｜ 【登場人物・九】関羽（かんう）　※主人公。名前変更可。猫族の少女。完全な猫族ではなく人間と猫族の間に生まれた混血。類稀な
c33330	v10289	関羽	https://x.com/juza_otomate/status/1517322297589313536	full	紹介らしい ｜ 【登場人物・二】張飛（ちょうひ）　CV.#岡本信彦劉備、関羽と兄弟同然に育ってきた猫族の少年。物事をあまり深く考えること
c33330	v10289	関羽	https://x.com/juza_otomate/status/1516959906854711296	full	紹介らしい ｜ 【登場人物・一】劉備（りゅうび）　CV.#石田彰猫族の長。十五歳という年齢の割りに心も体もとても幼くまるで子供のよう。兄
c33331	v10289	劉備	https://x.com/juza_otomate/status/1517322297589313536	full	紹介らしい ｜ 【登場人物・二】張飛（ちょうひ）　CV.#岡本信彦劉備、関羽と兄弟同然に育ってきた猫族の少年。物事をあまり深く考えること
c33331	v10289	劉備	https://x.com/juza_otomate/status/1516959906854711296	full	紹介らしい ｜ 【登場人物・一】劉備（りゅうび）　CV.#石田彰猫族の長。十五歳という年齢の割りに心も体もとても幼くまるで子供のよう。兄
c33332	v10289	張飛	https://x.com/juza_otomate/status/1517322297589313536	full	紹介らしい ｜ 【登場人物・二】張飛（ちょうひ）　CV.#岡本信彦劉備、関羽と兄弟同然に育ってきた猫族の少年。物事をあまり深く考えること
c33333	v10289	趙雲	https://x.com/juza_otomate/status/1517684684347650050	full	紹介らしい ｜ 【登場人物・三】趙雲（ちょううん）　CV.#鈴村健一世の常識にとらわれず自分の直感・信念に素直に生きる武将。真面目でしっ
c33334	v10289	曹操	https://x.com/juza_otomate/status/1518409459374116864	full	紹介らしい ｜ 【登場人物・五】夏侯惇（かこうとん）　CV.#鈴木達央頭の固いエリート武将。社会の常識・固定観念といったものに縛られ猫族
c33334	v10289	曹操	https://x.com/juza_otomate/status/1518047071382773760	full	紹介らしい ｜ 【登場人物・四】曹操（そうそう）　CV.#鳥海浩輔若くして頭角を現し大陸制覇の野望を抱く武将。己の野望のためには手段を問
c33335	v10289	夏侯惇	https://x.com/juza_otomate/status/1518409459374116864	full	紹介らしい ｜ 【登場人物・五】夏侯惇（かこうとん）　CV.#鈴木達央頭の固いエリート武将。社会の常識・固定観念といったものに縛られ猫族
c33336	v10289	張遼	https://x.com/juza_otomate/status/1518771848502161408	full	紹介らしい ｜ 【登場人物・六】張遼（ちょうりょう）　CV.#遊佐浩二最強の武将呂布に仕え、執事兼武将をこなしている。とても物腰が柔らか
c36127	v10419	柾木 真之介	https://x.com/GHP_otomate/status/2011996832180711520	full	紹介らしい ｜ 【🤔登場人物のおさらい🧐】「Glass Heart Princess for Nintendo Switch」の攻略対象
c36128	v10419	烏丸 幸斗	https://x.com/GHP_otomate/status/2012359221350658201	full	紹介らしい ｜ 【🤔登場人物のおさらい🧐】「Glass Heart Princess for Nintendo Switch」の攻略対象
c36129	v10419	朝比奈 天馬	https://x.com/GHP_otomate/status/2012721617504518168	full	紹介らしい ｜ 【🤔登場人物のおさらい🧐】「Glass Heart Princess for Nintendo Switch」の攻略対象
c36130	v10419	星野 彼方	https://x.com/GHP_otomate/status/2013083995685208246	full	紹介らしい ｜ 【🤔登場人物のおさらい🧐】「Glass Heart Princess for Nintendo Switch」の攻略対象
c36133	v10419	道明寺 凱	https://x.com/GHP_otomate/status/2013446389989077188	full	紹介らしい ｜ 【🤔登場人物のおさらい🧐】「Glass Heart Princess for Nintendo Switch」の攻略対象
c36133	v10419	道明寺 凱	https://x.com/GHP_otomate/status/2018157429251514787	full	紹介らしい ｜ 【💘GHP 運勢占い🔮】道明寺凱（CV.松岡禎丞）のゲーム内の台詞であなたの今月の運勢をズバリ占います✨解釈はあなた次第
c30137	v11179	こはる	https://x.com/norn9_anime/status/685000092609191936	手入力	紹介らしい ｜ 【キャラ紹介】こはる（CV藤村 歩）「……わたしは、この船をずっと待ってました……」ずっと一人で暮らしていたため、誰にも
c30138	v11179	久我 深琴	https://x.com/norn9_anime/status/684276293869768704	手入力	紹介らしい ｜ 【キャラ紹介】久我深琴（CV高垣彩陽）「私たち能力者はこの能力を、平和のために活かす」高飛車なところもあるが、責任感が強
c30139	v11179	不知火 七海	https://x.com/norn9_anime/status/684648643157045248	手入力	紹介らしい ｜ 【キャラ紹介】不知火七海（CV瀬戸麻沙美）「……私が……あの人の大切なものを奪ったから」自分の感情を表に出したり意志を表
c30140	v11179	結賀 駆	https://x.com/norn9_anime/status/685007804860530688	手入力	紹介らしい ｜ 【キャラ紹介】結賀 駆（CV梶 裕貴）「純粋で…、俺とは正反対すぎて、びっくりするよ」頭の回転が早くリーダーシップにあふ
c30141	v11179	市ノ瀬 千里	https://x.com/norn9_anime/status/681441455580168192	手入力	紹介らしい ｜ 【キャラ紹介】市ノ瀬千里（CV下野 紘）「僕らはいずれ……敵同士になる」周囲の大人たちから邪険に扱われてきた過去があり、
c30367	v11179	遠矢 正宗	https://x.com/norn9_anime/status/683959260850466817	手入力	紹介らしい ｜ 【キャラ紹介】遠矢正宗（CV佐藤拓也）「そうならないために世界は動いているんだ」メンバーの中では年長者で、お兄さん的な立
c30368	v11179	吾妻 夏彦	https://x.com/norn9_anime/status/684284013272412160	手入力	紹介らしい ｜ 【キャラ紹介】吾妻夏彦（CV小野大輔）「過程に興味はない。語るなら結果で語れ」ある理由で、ノルンの能力者の命を狙う外部の
c30369	v11179	二条 朔也	https://x.com/norn9_anime/status/682540771271036928	手入力	紹介らしい ｜ 【キャラ紹介】二条朔也（CV斎賀みつき）「大丈夫。忘れてないよ、あの約束のことは」物腰が柔らかく、女性に対して常に紳士的
c30370	v11179	加賀見 一月	https://x.com/norn9_anime/status/682867625957789696	手入力	紹介らしい ｜ 【キャラ紹介】加賀見一月（CV遊佐浩二）「何なら、今夜から俺が添い寝してあげようか？」幼少の頃から色街に育ち、女性に囲ま
c30371	v11179	宿史 暁人	https://x.com/norn9_anime/status/684657820579397632	手入力	紹介らしい ｜ 【キャラ紹介】宿吏暁人（CV杉山紀彰）「俺に気安くはなしかけんじゃねえよ」怒りっぽく、常に不機嫌な表情を浮かべている気難
c30372	v11179	室星 ロン	https://x.com/norn9_anime/status/682149063114924032	手入力	紹介らしい ｜ 【キャラ紹介】室星ロン（CV杉田智和）「そうなの？昼寝してたんだ」怪しげな風貌の持ち主で、そのサングラスに隠された眼も相
