# 公式サイトから拾ったXアカウントの候補。
# 1サイトに複数のアカウントが載っていることが多いので、
# 正しいものを選んで corrections/x_accounts.tsv に移すこと。
vid	title	account	source_url	note
v7836	はーとふる彼氏〜希望の学園と白い翼〜		https://www.jp.playstation.com/games/hatoful-boyfriend-ps4/	サイトにXへのリンクなし（4件試した）
v9846	DIABOLIK LOVERS		https://weibo.com/1821444155/Ngo03Fv2a	サイトにXへのリンクなし（4件試した）
v30	用心棒- ～運命のフロイデ～		https://pixeldrain.com/u/eUynMLSe	サイトにXへのリンクなし（4件試した）
v10570	はーとふる彼氏 HolidayStar		https://vk.com/wall-83924554_3151	サイトにXへのリンクなし（4件試した）
v5127	蝶の毒 華の鎖		https://www.prot.co.jp/switch/choudoku/index.html	サイトにXへのリンクなし（4件試した）
v51437	文字化化	@ushirokazutaka @maishiroi @HomicipherMZBK @YatsuGamesS @tigrig1129	https://317.zashiki.com/mozibake/	候補6件。正しいものだけ残して x_accounts.tsv へ
v15231	逆転 吉原	@OtokoYukaku	https://pornolab.net/forum/viewtopic.php?t=3073768	候補1件。正しいものだけ残して x_accounts.tsv へ
v3549	乙女的恋革命★ラブレボ!!		https://sites.google.com/site/loverevoguide/translation-project	サイトにXへのリンクなし（4件試した）
v12150	DIABOLIK LOVERS MORE,BLOOD	@taina_psilva	https://weibo.com/1821444155/Ngo03Fv2a	候補1件。正しいものだけ残して x_accounts.tsv へ
v801	ハートの国のアリス～ Wonderful Wonder World ～		https://novellarus.wordpress.com/2013/03/07/anniversary-no-kuni-no-alice-wonderful-wonder-world-%d0%b4%d0%b5%d0%bc%d0%be-%d0%b2%d0%b5%d1%80%d1%81%d0%b8%d1%8f/#comment-162	サイトにXへのリンクなし（4件試した）
v645	プリンセスナイトメア	@mediafire	https://vk.com/wall-76365526_1903	候補1件。正しいものだけ残して x_accounts.tsv へ
v7557	Brothers Conflict	@TeamAsahina @teamasahina	https://sites.google.com/site/broconbluethai/home	候補2件。正しいものだけ残して x_accounts.tsv へ
v13321	私のリアルは充実しすぎている		https://weibo.com/2928447092/GyqUUfOBG	サイトにXへのリンクなし（4件試した）
v6723	CLOCK ZERO 〜終焉の一秒〜	@cz_x_official	https://avg.163.com/game/detail/3863	候補1件。正しいものだけ残して x_accounts.tsv へ
v8203	アルカナ・ファミリア	@happypriroll @arpacako	https://solartranslations.tumblr.com/arcanafamigliadirectory	候補2件。正しいものだけ残して x_accounts.tsv へ
v16788	貴方の仮面の外し方	@RatalaikaGames @Ratalaikagames	https://www.ratalaikagames.com/games/howtotakeoffyourmask.php	候補2件。正しいものだけ残して x_accounts.tsv へ
v4602	うたの☆プリンスさまっ♪		https://www.utapri.com/game/repeat_love/switch/	サイトにXへのリンクなし（4件試した）
v19283	逆転吉原～扇屋編～		https://apps.rakuten.co.jp/feature/yoshiwara_ohgiya/	サイトにXへのリンクなし（3件試した）
v4540	猛獣使いと王子様		https://vk.com/wall-187172451_12801	サイトにXへのリンクなし（4件試した）
v6656	死神と少女	@sinigami_k	https://eirrir-blog.tumblr.com/post/156430595495/shinigami-to-shoujo-vnr-ppsspp-english	候補1件。正しいものだけ残して x_accounts.tsv へ
v13101	BAD MEDICINE -INFECTIOUS TEACHERS-	@Rejet_info	https://anivisual.net/stuff/15-1-0-957	候補1件。正しいものだけ残して x_accounts.tsv へ
