# 作品情報の訂正・追記。1行1項目。
#
# data/ は git 管理外で、rebuild-db.yml がカタログを作り直すとDBの中身は再生成される。
# DBに直接書いた訂正は消えるので、ここに書いて毎回適用する。
#
# vid         VNDBの作品ID（v12345）
# field       下の一覧のいずれか
# value       入れる値
# source_url  出典。http(s) 必須。これが無い訂正は入れない
# checked_at  出典を実際に見て確認した日（YYYY-MM-DD）
# note        判断の理由。空でよいが、迷ったものは必ず書く
#
# 使える field:
#   released      発売日 YYYY-MM-DD
#   title         作品名
#   publishers    発売元（/ 区切り）
#   developers    開発元（/ 区切り）
#   staff         スタッフ（役割:名前 を / 区切り）
#   description_ja  日本語のあらすじ。自分の言葉で書くこと（下記）
#   jawiki_url    日本語Wikipediaのページ
#   url           公式サイト
#
# あらすじ（description_ja）の注意:
#   公式サイトやWikipediaの文章をそのまま貼らないこと。
#   公式の文は著作権があり、あらすじ欄を丸ごと引用で埋めると主従関係が逆転して
#   引用の要件を満たさない。Wikipedia は CC BY-SA なので転載すると継承義務が生じる。
#   事実・筋書きに著作権は及ばないので、読んで理解した内容を自分の表現で書く。
#   source_url には根拠にした公式ページを入れる。
vid,field,value,source_url,checked_at,note
# 後日あらすじを再開するときに # を外す（2026-08-23 いったん保留）
# v7803,description_ja,八月一日の朝、主人公はそれ以前の記憶をすべて失った状態で目を覚ます。どんな毎日を送っていたのか、誰と関わってきたのかも思い出せない。そこへ精霊を名乗る少年オリオンが現れ、彼の力を借りながら手がかりを探しはじめる。やがて携帯電話に、覚えのない名前から連絡が入る。相手は自分の恋人だという。顔も声も知らないその人と向き合いながら、失った日々の輪郭をたどっていく。,https://ja.wikipedia.org/wiki/AMNESIA,2026-08-23,Wikipedia と VNDB の説明文を読んで自分の言葉で書いた。公式は http://www.otomate.jp/amnesia/
# 後日あらすじを再開するときに # を外す（2026-08-23 いったん保留）
# v18160,description_ja,連続する凶悪事件のせいで治安の崩れた新宿。主人公は着任して間もない警察官として、この街の見回りにあたっていた。ある晩、通報を受けて向かった先で背後から襲撃され、意識を取り戻したときには首に毒の仕込まれた輪をはめられている。遠隔で作動させられるうえ、自分では外せない。目の前に立っていたのは、警察を離れた者たちが集まる組織の面々だった。命を預けたまま、主人公は五人とともに事件の核心へ踏み込んでいく。,https://ja.wikipedia.org/wiki/Collar%C3%97Malice,2026-08-23,同上。公式は http://www.otomate.jp/collar_malice/
# 後日あらすじを再開するときに # を外す（2026-08-23 いったん保留）
# v7836,description_ja,主人公が通う聖ピジョネイション学園は、鳥たちが人と同じように学び、語らう場所である。人間の生徒は主人公ひとりだけ。二年生に上がった春からの一年間、教室での日々と級友との距離が少しずつ描かれる。恋の相手は文字どおりの鳥だが、物語はペットや擬人化された動物とのふれあいではなく、人と鳥が対等に向き合う関係として進んでいく。作者が個人で作りはじめ、無料版から追加シナリオを重ねてきた同人作品。,https://ja.wikipedia.org/wiki/%E3%81%AF%E3%83%BC%E3%81%A8%E3%81%B5%E3%82%8B%E5%BD%BC%E6%B0%8F,2026-08-23,同上。公式は http://clione.halfmoon.jp/hatoful-boyfriend/
v1282,released,2006-12-15,https://ja.wikipedia.org/wiki/Under_the_Moon_%28%E3%82%B2%E3%83%BC%E3%83%A0%29,2026-08-23,VNDBのVN側の発売日に対応するリリース記録がVNDB内に1つも無く、Wikipediaの一般発売日が最古の版と一致する。日付欄の全文で裏取り済み（旧値 2006-11-08）
v1009,released,2008-07-25,https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%95%E3%81%8D%E3%80%81%E3%82%86%E3%82%81%E3%81%BF%E3%81%97,2026-08-23,VNDBのVN側の発売日に対応するリリース記録がVNDB内に1つも無く、Wikipediaの一般発売日が最古の版と一致する。日付欄の全文で裏取り済み（旧値 2008-07-16）
v6032,released,2010-07-29,https://ja.wikipedia.org/wiki/%E5%A4%8F%E7%A9%BA%E3%81%AE%E3%83%A2%E3%83%8E%E3%83%AD%E3%83%BC%E3%82%B0,2026-08-23,VNDBのVN側の発売日に対応するリリース記録がVNDB内に1つも無く、Wikipediaの一般発売日が最古の版と一致する。日付欄の全文で裏取り済み（旧値 2010-05-28）
v7833,released,2013-06-28,https://ja.wikipedia.org/wiki/OZMAFIA%21%21,2026-08-23,VNDBのVN側の発売日に対応するリリース記録がVNDB内に1つも無く、Wikipediaの一般発売日が最古の版と一致する。日付欄の全文で裏取り済み（旧値 2013-04-15）
v11472,released,2013-12-19,https://ja.wikipedia.org/wiki/%E5%89%A3%E3%81%8C%E5%90%9B,2026-08-23,VNDBのVN側の発売日に対応するリリース記録がVNDB内に1つも無く、Wikipediaの一般発売日が最古の版と一致する。日付欄の全文で裏取り済み（旧値 2013-11-01）
v14759,released,2014-08-29,https://ja.wikipedia.org/wiki/%E3%81%82%E3%82%84%E3%81%8B%E3%81%97%E3%81%94%E3%81%AF%E3%82%93,2026-08-23,VNDBのVN側の発売日に対応するリリース記録がVNDB内に1つも無く、Wikipediaの一般発売日が最古の版と一致する。日付欄の全文で裏取り済み（旧値 2014-08-13）
v15070,released,2015-01-30,https://ja.wikipedia.org/wiki/Re%3ABIRTHDAY_SONG%E3%80%9C%E6%81%8B%E3%82%92%E5%94%84%E3%81%86%E6%AD%BB%E7%A5%9E%E3%80%9C,2026-08-23,VNDBのVN側の発売日に対応するリリース記録がVNDB内に1つも無く、Wikipediaの一般発売日が最古の版と一致する。日付欄の全文で裏取り済み（旧値 2015-01-16）
v16032,released,2015-02-20,https://ja.wikipedia.org/wiki/%E5%A4%A7%E6%AD%A3%C3%97%E5%AF%BE%E7%A7%B0%E3%82%A2%E3%83%AA%E3%82%B9,2026-08-23,VNDBのVN側の発売日に対応するリリース記録がVNDB内に1つも無く、Wikipediaの一般発売日が最古の版と一致する。日付欄の全文で裏取り済み（旧値 2015-02-10）
v13833,released,2015-03-26,https://ja.wikipedia.org/wiki/%E3%83%B4%E3%82%A1%E3%83%AB%E3%83%97%E3%83%AB%E3%82%AC%E3%81%AE%E8%A9%A9,2026-08-23,VNDBのVN側の発売日に対応するリリース記録がVNDB内に1つも無く、Wikipediaの一般発売日が最古の版と一致する。日付欄の全文で裏取り済み（旧値 2015-03-09）
